"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","hgnc_symbol","entrezgene_id"
"1","ENSG00000131409",6545.79007034517,-3.32140538906849,0.0890038909546083,6.04076503770084e-306,7.92427557645596e-302,"LRRC4B",94030
"2","ENSG00000161681",11634.9499972427,-3.64139748465539,0.160184106595215,1.14823759919215e-115,7.53129041310131e-112,"SHANK1",50944
"3","ENSG00000213023",2989.73942894949,-4.6399405401608,0.218146881220786,1.28272509448905e-101,5.60892926316911e-98,"SYT3",84258
"4","ENSG00000166348",1578.55975945616,-1.900430621368,0.0906710997603589,1.05269105249862e-98,3.45230030666922e-95,"USP54",159195
"5","ENSG00000152926",695.283595445969,-4.58964769256864,0.227635243045449,2.58136940526509e-91,6.77248077165349e-88,"ZNF117",51351
"6","ENSG00000152926",695.283595445969,-4.58964769256864,0.227635243045449,2.58136940526509e-91,6.77248077165349e-88,"ZNF117",109504726
"7","ENSG00000254245",1073.36971574866,-1.7427509111262,0.109022584311523,7.05354679506818e-59,1.54214044762841e-55,"PCDHGA3",56112
"8","ENSG00000102195",462.771296629082,-2.8929416969321,0.181932500729388,5.87173926801287e-58,1.10036393882561e-54,"GPR50",9248
"9","ENSG00000131398",2605.13739522127,-11.1809596881175,0.704628343827778,1.86015334568959e-54,3.0501864485945e-51,"KCNC3",3748
"10","ENSG00000258405",206.588497779154,4.60594358724935,0.305262360939702,3.24884607566091e-52,4.73537364672442e-49,"ZNF578",147660
"11","ENSG00000081842",487.45910233518,2.29145843134895,0.162091485199665,8.81175008974251e-47,1.15592537677242e-43,"PCDHA6",56142
"12","ENSG00000161671",7244.31939332699,-1.10029300837328,0.0877497470107709,2.27760485047609e-37,2.71614731168594e-34,"EMC10",284361
"13","ENSG00000105472",257.596713203015,-3.46696372237039,0.279559300470766,2.09281205783667e-36,2.28779238122512e-33,"CLEC11A",6320
"14","ENSG00000204965",169.97780403138,-2.58870638146801,0.271216641412558,6.00489068632919e-23,6.05939661717433e-20,"PCDHA5",56143
"15","ENSG00000188191",3015.45660288442,-0.692992963097606,0.0734505533282454,1.93553565199278e-22,1.81359690591724e-19,"PRKAR1B",5575
"16","ENSG00000198865",320.956422991019,-8.63193489882684,0.923435622164896,1.71836952947775e-20,1.50277143251261e-17,"CCDC152",100129792
"17","ENSG00000167981",708.438177673433,1.07303106575737,0.120486142647663,2.63554471037812e-20,2.16081721942127e-17,"ZNF597",146434
"18","ENSG00000105143",1370.71158226648,-1.02957320215101,0.115977257160844,3.44598352674714e-20,2.65908305316876e-17,"SLC1A6",6511
"19","ENSG00000101294",5826.10279909711,-0.442933534050852,0.0545035924073225,2.21331678633426e-17,1.61301608906294e-14,"HM13",81502
"20","ENSG00000180787",60.9665127113072,-4.6307666903589,0.570597703354494,5.10259771957666e-17,3.52294088870561e-14,"ZFP3",124961
"21","ENSG00000198039",115.757454172675,-5.28450756286664,0.647113483124494,1.42383088284678e-16,9.33890676059206e-14,"ZNF273",10793
"22","ENSG00000243449",1026.94031248494,0.927689293175419,0.120015956072909,5.57071171994808e-16,3.4798379210609e-13,"NICOL1",401115
"23","ENSG00000174485",2650.75368684828,-0.543830238381786,0.0727446379607738,3.64985211205284e-15,2.17630727299587e-12,"DENND4A",10260
"24","ENSG00000154864",6027.52863311095,-0.528541489119815,0.0714504477310865,9.24626879995552e-15,5.27358930947028e-12,"PIEZO2",63895
"25","ENSG00000102109",9362.2343361447,0.490141118581983,0.0677993009687336,2.647518847191e-14,1.44708967656048e-11,"PCSK1N",27344
"26","ENSG00000136247",1351.35729333829,-0.628602272121715,0.0879560662328555,4.26246713798415e-14,2.23660175664304e-11,"ZDHHC4",55146
"27","ENSG00000131018",28799.1941334838,-0.262109076752071,0.0375297217132359,1.72636496648626e-13,8.71017524244875e-11,"SYNE1",23345
"28","ENSG00000184058",360.481882769576,-1.43867414373079,0.218168729520292,1.78966736908886e-12,8.69513205470652e-10,"TBX1",6899
"29","ENSG00000058668",3412.78380181926,0.552868726659468,0.0847866900112132,3.37131327797557e-12,1.57946027073156e-09,"ATP2B4",493
"30","ENSG00000126778",1227.58161820371,0.8809393349516,0.140231664763851,1.52742995412009e-11,6.90925039246459e-09,"SIX1",6495
"31","ENSG00000177932",2177.53133859099,-0.625220603489667,0.100416436186347,2.23288439930949e-11,9.76365918338063e-09,"ZNF354C",30832
"32","ENSG00000124126",4449.93453710526,0.343838162134969,0.0549316295176272,2.37140022971305e-11,1.00348478107664e-08,"PREX1",57580
"33","ENSG00000147408",3765.06834648199,-0.368371677241922,0.0596867413338596,3.41274395024039e-11,1.39901172310167e-08,"CSGALNACT1",55790
"34","ENSG00000197008",276.717680345012,-8.78858829724415,1.29283161646362,3.98853585147442e-11,1.58550343332247e-08,"ZNF138",7697
"35","ENSG00000127990",2309.67407208774,0.450725661113898,0.0737417128100282,4.23565352417023e-11,1.63421479206074e-08,"SGCE",8910
"36","ENSG00000155760",697.541862755039,0.795915259066208,0.130653582076462,5.2574265911174e-11,1.9704834863508e-08,"FZD7",8324
"37","ENSG00000170846",1042.46954063178,-0.583257445097155,0.100124142011259,2.55178174595925e-10,9.2984091509704e-08,"MRFAP1L2",93622
"38","ENSG00000169554",2979.18414490075,0.557015233569179,0.0967407420027663,4.01844624287407e-10,1.42470210308168e-07,"ZEB2",9839
"39","ENSG00000075407",2082.89197550715,-0.467172978448138,0.0825740264631325,7.27493544427085e-10,2.51138429363013e-07,"ZNF37A",7587
"40","ENSG00000119689",7819.05184115446,0.289299000995998,0.0509278329894602,7.52054149393986e-10,2.52960162352572e-07,"DLST",1743
"41","ENSG00000003096",3624.82548967822,0.365635770198074,0.0654865844113704,1.18996343234213e-09,3.90248507636602e-07,"KLHL13",90293
"42","ENSG00000183779",1085.37904375076,0.550279060919935,0.100513688416489,2.02012484671656e-09,6.4634140827385e-07,"ZNF703",80139
"43","ENSG00000142530",175.997252669151,-1.28302465683808,0.245659452021737,7.80821259767466e-09,2.43876506800705e-06,"GARIN5A",112703
"44","ENSG00000241697",271.764037129359,1.01074420916745,0.195583810872841,9.86569042556595e-09,3.00972388378079e-06,"TMEFF1",8577
"45","ENSG00000196781",8078.28530456583,0.256693334163035,0.0491980205643449,1.0491816965609e-08,3.12799215806498e-06,"TLE1",7088
"46","ENSG00000175061",17692.1156184305,0.201028364376541,0.0401136162929911,1.53187629345642e-08,4.4655896039025e-06,"SNHG29",125144
"47","ENSG00000112246",658.903341348279,0.840044752025809,0.166647096285934,1.98677164982865e-08,5.66575445705484e-06,"SIM1",6492
"48","ENSG00000120093",130.42889294921,1.72400076927948,0.342163784220324,2.09010899856455e-08,5.83362762620635e-06,"HOXB3",3213
"49","ENSG00000134138",198.118849798779,1.15754070002834,0.230716395804054,2.2686406289996e-08,6.20000578567015e-06,"MEIS2",4212
"50","ENSG00000142541",26182.9368107161,0.191021641099017,0.0383640764782648,4.76906254172114e-08,1.27674617188363e-05,"RPL13A",23521
"51","ENSG00000119630",296.8934208889,1.16495515834661,0.241370770981223,5.71285403475958e-08,1.49882438455952e-05,"PGF",5228
"52","ENSG00000254221",607.266204114667,0.681768594475759,0.141567489080958,6.41532325445294e-08,1.65012177356693e-05,"PCDHGB1",56104
"53","ENSG00000251562",11392.0035960339,-0.324145180466312,0.0675120345664662,7.22211415091037e-08,1.82191718137774e-05,"MALAT1",NA
"54","ENSG00000290555",765.339417843145,0.700586746894923,0.147367224102526,8.42869267572014e-08,2.08618095320937e-05,"LINC00680",106660612
"55","ENSG00000197971",796.187182266005,-0.594007954940939,0.125778102008278,9.95819680281489e-08,2.4191041788764e-05,"MBP",4155
"56","ENSG00000180938",232.803073585932,0.993969957475552,0.213842140457685,1.44140329505246e-07,3.43787789536331e-05,"ZNF572",137209
"57","ENSG00000061918",2125.3566672637,-0.378267611668556,0.0815189078462413,1.60505283449909e-07,3.75983626481411e-05,"GUCY1B1",2983
"58","ENSG00000063015",3755.14555942748,-0.273285099490333,0.0590774540806434,1.89928602218117e-07,4.37102351560922e-05,"SEZ6",124925
"59","ENSG00000120675",921.539904769418,-0.777888711055821,0.174259530566994,3.29738746404771e-07,7.4577808195479e-05,"DNAJC15",29103
"60","ENSG00000070601",879.330164915371,0.86492143905739,0.197246309093345,4.76768143907545e-07,0.000106004144267444,"FRMPD1",22844
"61","ENSG00000113448",6062.67274781276,0.269828460055649,0.0617497341900393,6.22243617439662e-07,0.000133812979894647,"PDE4D",5144
"62","ENSG00000136160",310.090326197684,1.3874232616652,0.320637679477849,6.16006484996134e-07,0.000133812979894647,"EDNRB",1910
"63","ENSG00000167526",22479.3672671865,0.18589033344165,0.0424928647256836,7.42352686738135e-07,0.000157067460397272,"RPL13",6137
"64","ENSG00000253910",921.898020260468,0.632792371247008,0.149018985416063,8.91412517591983e-07,0.000185611895329708,"PCDHGB2",56103
"65","ENSG00000171502",177.569096028755,1.29246127747586,0.305099570212227,9.06116140084811e-07,0.000185725492588009,"COL24A1",255631
