"","ctcf_5_S3","ctcf_8_S4","whole_ko_12_S6","whole_ko_9_S5","WT_P37_25_S1","WT_P37_26_S2"
"ENSG00000157911",2042,1496,1565,1857,1699,1077
"ENSG00000142655",2970,1955,2272,2688,2369,1517
"ENSG00000149527",3788,2861,3760,3938,3375,2164
"ENSG00000171621",1032,830,645,897,950,610
"ENSG00000173614",583,366,485,604,490,309
"ENSG00000204624",10203,7450,11451,11990,11530,6769
"ENSG00000171729",162,128,185,162,123,88
"ENSG00000037637",6997,4834,6514,6994,6313,4074
"ENSG00000159423",2620,1957,2310,2523,2411,1536
"ENSG00000157916",6485,4631,5757,6460,5774,3711
"ENSG00000157881",2980,2142,2575,2860,2775,1659
"ENSG00000048707",6989,4956,7324,7283,6934,4422
"ENSG00000184677",3756,2634,3634,3852,3415,2112
"ENSG00000288398",1247,884,1293,1384,1139,810
"ENSG00000131697",2057,1318,2059,2134,1957,1256
"ENSG00000055070",6474,4506,5875,6512,5587,3454
"ENSG00000204138",5886,4120,5912,6572,5311,3348
"ENSG00000090020",3464,2701,2780,3298,3221,2000
"ENSG00000158006",1229,874,976,1083,925,583
"ENSG00000171612",2432,1620,2174,2474,2143,1313
"ENSG00000158161",3204,2393,2964,3490,2989,1904
"ENSG00000189337",7950,5844,7468,8593,7768,4816
"ENSG00000130939",9985,7273,9336,10219,9244,5925
"ENSG00000060656",5191,3817,4723,5848,5305,3172
"ENSG00000163867",1240,818,1129,1285,999,664
"ENSG00000134698",5390,3814,6026,6144,5190,3276
"ENSG00000132881",499,375,488,578,399,344
"ENSG00000273274",698,469,923,794,677,415
"ENSG00000130940",4899,3526,4472,4545,4412,2808
"ENSG00000163879",2066,1499,1975,2158,1913,1182
"ENSG00000116954",1095,804,1003,1069,934,641
"ENSG00000163873",3076,2056,4154,3947,3602,2257
"ENSG00000179051",7331,4691,6737,7712,6269,4109
"ENSG00000126067",11919,8839,10952,12426,10295,6891
"ENSG00000054118",14352,9894,12561,14485,12160,7801
"ENSG00000146463",15074,10438,14187,15560,13149,8577
"ENSG00000142686",7389,5007,5775,6988,6940,4298
"ENSG00000117148",355,280,54,155,188,73
"ENSG00000117000",4419,2984,4105,4512,3846,2508
