"","ctcf_5_S3","ctcf_8_S4","whole_ko_12_S6","whole_ko_9_S5","WT_P37_25_S1","WT_P37_26_S2"
"ENSG00000157911",4.61823084705788,4.67213688395487,4.38523919433753,4.45873920374593,4.51270077194622,4.50386490573971
"ENSG00000142655",5.14023876287527,5.04484798184021,4.90139470726586,4.97187160198045,4.97430729518492,4.97950534150583
"ENSG00000149527",5.48235111939037,5.58029211687531,5.60893298742086,5.50813488757094,5.47117142447362,5.47824727271107
"ENSG00000171621",3.69006477213853,3.86691647904935,3.20170475621341,3.47750652801242,3.72300127946452,3.73160589740868
"ENSG00000173614",2.94980493680836,2.80585718490673,2.84121463508179,2.96844803163465,2.86693923320802,2.85249743246967
"ENSG00000204624",6.8914018317447,6.94231863480844,7.19560972351417,7.09298438842093,7.22041627924531,7.1013025151427
"ENSG00000171729",1.52059733322551,1.63032181835061,1.74505126870769,1.5013454714684,1.36749024604693,1.47098051168128
"ENSG00000037637",6.35277420541984,6.32463008566326,6.38919179526871,6.32287141808401,6.35939397086826,6.37573944875097
"ENSG00000159423",4.96479713171151,5.04627846501238,4.92453039787704,4.88348202481969,4.99886103984672,4.99689669977567
"ENSG00000157916",6.24453728224041,6.26352518193978,6.21322678146411,6.20977675437431,6.23227867632256,6.24279989195658
"ENSG00000157881",5.14495088076186,5.17281734713276,5.07631276872813,5.0585862172587,5.1957865668934,5.10467868589019
"ENSG00000048707",6.35114396602081,6.36014563406639,6.55637502220694,6.38057115475804,6.49318152633943,6.49262460069246
"ENSG00000184677",5.47038677099628,5.46362428630934,5.56078333214222,5.47698704458568,5.48778851005448,5.44395322109387
"ENSG00000288398",3.94368140678132,3.95179853654124,4.12424920226858,4.05685943659748,3.96652558266029,4.11365019714062
"ENSG00000131697",4.6283613544686,4.49699923854309,4.76436087739579,4.65078413379166,4.70830260224772,4.71659221556787
"ENSG00000055070",6.24212040263513,6.22456958048521,6.24210781405535,6.22118763593252,6.18542354126917,6.14067675255891
"ENSG00000204138",6.10665332050032,6.09717299031424,6.25104594349185,6.23424285726604,6.11336305372822,6.09635544396723
"ENSG00000090020",5.35636905386503,5.49905137287839,5.18366849808164,5.25840172470107,5.40534670065603,5.36719815677322
"ENSG00000158006",3.92407738832209,3.93645177928569,3.74510243026497,3.72694197108825,3.68747693924797,3.67131351813361
"ENSG00000171612",4.86094035064246,4.78268261100649,4.83995825024663,4.85615504097967,4.83449284317267,4.77823865953917
"ENSG00000158161",5.24665921718728,5.32847814905979,5.27366276438801,5.33796232471971,5.3001407169132,5.2979929059371
"ENSG00000189337",6.53487497668832,6.59525455848888,6.58416955370806,6.6165580675757,6.65531641741405,6.61444965307192
"ENSG00000130939",6.86050804477833,6.9079142454289,6.90324049028658,6.86423699552238,6.9040033230681,6.91067083792041
"ENSG00000060656",5.92817854260946,5.98863974361667,5.93186389358477,6.06822426918557,6.11175584389721,6.01961816534437
"ENSG00000163867",3.9360892439596,3.84735584681833,3.94053979676813,3.95644680936584,3.79018963561354,3.84512042689608
"ENSG00000134698",5.98157632195215,5.9875232718523,6.27824196025101,6.13842295036316,6.08059981396973,6.06545462132882
"ENSG00000132881",2.7564434638392,2.83594409461292,2.84887289062645,2.91323664507891,2.61495885269625,2.98683122850028
"ENSG00000273274",3.17843975186023,3.11756493711826,3.67071691905618,3.31824232946265,3.27762713900212,3.22605738020644
"ENSG00000130940",5.84606483687923,5.87610691676789,5.85440634603525,5.71071219108988,5.85005220679301,5.84664811230012
"ENSG00000163879",4.63440568864409,4.6749138368907,4.70652566173135,4.66627996352933,4.67676448427079,4.6324169116139
"ENSG00000116954",3.76910726108447,3.82419477800735,3.78157173436045,3.70959680886983,3.7003667010594,3.79785908657213
"ENSG00000163873",5.18942094167859,5.11537108824351,5.74989501258563,5.51135601076301,5.56303104217833,5.53761902575849
"ENSG00000179051",6.41924326149811,6.28185671768495,6.43718452526462,6.46217982833779,6.3494268719626,6.38793280638742
"ENSG00000126067",7.11392097927521,7.18711675646168,7.13177883554628,7.14414385088632,7.05812765140389,7.12688712910506
