gene_id	ctcf_5_S3	ctcf_8_S4	whole_ko_12_S6	whole_ko_9_S5	WT_P37_25_S1	WT_P37_26_S2
ENSG00000228037	1	0	2	0	1	1
ENSG00000142611	16	16	13	20	8	13
ENSG00000284616	0	0	0	0	0	0
ENSG00000157911	2042	1496	1565	1857	1699	1077
ENSG00000260972	0	0	0	0	0	0
ENSG00000224340	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0
ENSG00000229280	0	0	0	0	0	0
ENSG00000142655	2970	1955	2272	2688	2369	1517
ENSG00000232596	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0
ENSG00000149527	3788	2861	3760	3938	3375	2164
ENSG00000284739	0	0	0	0	0	0
ENSG00000171621	1032	830	645	897	950	610
ENSG00000272235	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0
ENSG00000224387	3	1	3	7	5	0
ENSG00000142583	2	4	4	0	3	2
ENSG00000284674	0	0	0	0	0	0
ENSG00000224338	0	0	0	0	2	0
ENSG00000287727	0	0	0	0	0	0
ENSG00000286448	3	0	0	1	1	0
ENSG00000284703	0	0	0	0	0	0
ENSG00000226457	0	0	0	1	0	0
ENSG00000173614	583	366	485	604	490	309
ENSG00000215720	0	0	0	0	0	0
ENSG00000241326	0	0	0	0	0	0
ENSG00000233623	0	0	0	0	0	0
ENSG00000204624	10203	7450	11451	11990	11530	6769
ENSG00000142606	8	8	19	8	12	9
ENSG00000225931	0	0	0	0	3	1
ENSG00000171729	162	128	185	162	123	88
ENSG00000229393	9	5	10	10	14	6
ENSG00000037637	6997	4834	6514	6994	6313	4074
ENSG00000287586	0	0	0	0	0	0
ENSG00000159423	2620	1957	2310	2523	2411	1536
ENSG00000227169	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0
ENSG00000157916	6485	4631	5757	6460	5774	3711
ENSG00000157881	2980	2142	2575	2860	2775	1659
ENSG00000238290	4	1	5	13	6	2
ENSG00000225387	0	0	2	2	1	3
ENSG00000048707	6989	4956	7324	7283	6934	4422
ENSG00000225196	0	0	0	0	0	0
ENSG00000162444	2	3	3	2	3	4
ENSG00000279625	2	0	0	0	0	0
ENSG00000180758	31	29	12	10	45	11
ENSG00000184677	3756	2634	3634	3852	3415	2112
ENSG00000288398	1247	884	1293	1384	1139	810
ENSG00000224621	0	0	0	0	2	0
ENSG00000285833	0	0	0	1	0	0
ENSG00000131697	2057	1318	2059	2134	1957	1256
ENSG00000284692	0	2	0	0	0	0
ENSG00000284745	0	0	0	0	0	0
ENSG00000280222	1	0	1	0	0	0
ENSG00000285945	0	0	0	0	0	0
ENSG00000197921	139	86	73	92	51	39
ENSG00000233755	0	0	0	0	0	0
ENSG00000233929	5	3	8	5	7	6
ENSG00000234166	0	0	0	0	0	0
ENSG00000055070	6474	4506	5875	6512	5587	3454
ENSG00000230035	0	0	0	0	0	0
ENSG00000225643	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0
ENSG00000228943	0	0	0	0	0	0
ENSG00000234397	0	1	0	1	0	0
ENSG00000204138	5886	4120	5912	6572	5311	3348
ENSG00000233419	0	0	0	0	0	0
ENSG00000235263	3	0	1	0	1	0
ENSG00000228176	0	0	0	0	0	0
ENSG00000225011	0	0	0	0	0	0
ENSG00000284676	1	2	0	0	0	0
ENSG00000090020	3464	2701	2780	3298	3221	2000
ENSG00000157978	28	20	4	5	22	5
ENSG00000158006	1229	874	976	1083	925	583
ENSG00000214812	1	0	0	1	0	0
ENSG00000196581	0	0	0	2	57	33
ENSG00000169403	12	15	23	22	18	18
ENSG00000171612	2432	1620	2174	2474	2143	1313
ENSG00000270927	0	0	0	0	0	0
ENSG00000188910	0	1	0	0	0	0
ENSG00000230523	0	0	0	0	0	0
ENSG00000158161	3204	2393	2964	3490	2989	1904
ENSG00000142627	127	94	43	84	86	51
ENSG00000284668	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0
ENSG00000142632	36	11	45	48	22	21
ENSG00000234593	0	0	0	0	0	0
ENSG00000189337	7950	5844	7468	8593	7768	4816
ENSG00000028137	0	3	0	0	0	1
ENSG00000204464	0	0	0	0	0	0
ENSG00000283259	0	2	0	0	1	0
ENSG00000130939	9985	7273	9336	10219	9244	5925
ENSG00000175147	30	17	47	43	29	26
ENSG00000127472	0	0	0	0	0	0
ENSG00000060656	5191	3817	4723	5848	5305	3172
ENSG00000163867	1240	818	1129	1285	999	664
ENSG00000230214	0	0	0	0	1	0
ENSG00000189280	0	0	0	0	0	0
ENSG00000134698	5390	3814	6026	6144	5190	3276
ENSG00000272420	25	36	42	34	25	13
ENSG00000132881	499	375	488	578	399	344
ENSG00000273274	698	469	923	794	677	415
ENSG00000236648	2	1	0	0	0	0
ENSG00000232273	1	0	0	0	0	0
ENSG00000287396	0	0	0	0	0	1
ENSG00000130940	4899	3526	4472	4545	4412	2808
ENSG00000163879	2066	1499	1975	2158	1913	1182
ENSG00000227527	1	0	0	0	0	0
ENSG00000116954	1095	804	1003	1069	934	641
ENSG00000228589	28	13	12	19	17	7
ENSG00000163873	3076	2056	4154	3947	3602	2257
ENSG00000117215	0	1	0	0	0	0
ENSG00000230163	0	0	0	0	0	0
ENSG00000227538	0	0	0	0	0	0
ENSG00000044012	0	0	0	0	0	0
ENSG00000179051	7331	4691	6737	7712	6269	4109
ENSG00000215895	4	7	0	8	0	0
ENSG00000284650	0	0	0	3	1	0
ENSG00000236948	0	0	0	0	1	0
ENSG00000126067	11919	8839	10952	12426	10295	6891
ENSG00000274944	0	0	0	0	0	0
ENSG00000272078	6	4	1	1	0	1
ENSG00000230451	0	0	0	0	0	0
ENSG00000231606	17	11	10	6	16	15
ENSG00000284632	1	1	0	0	0	0
ENSG00000054118	14352	9894	12561	14485	12160	7801
ENSG00000254553	0	0	0	0	0	0
ENSG00000284653	0	0	0	0	0	0
ENSG00000237749	1	0	1	6	0	0
ENSG00000276747	0	0	0	0	0	0
ENSG00000284705	75	61	73	106	66	54
ENSG00000228776	0	0	0	0	0	0
ENSG00000159339	0	0	0	0	0	0
ENSG00000261781	0	0	0	0	0	2
ENSG00000284743	0	0	0	0	0	0
ENSG00000158315	1	0	0	0	0	1
ENSG00000186973	6	6	2	6	3	1
ENSG00000146463	15074	10438	14187	15560	13149	8577
ENSG00000271741	0	0	0	0	0	0
ENSG00000142686	7389	5007	5775	6988	6940	4298
ENSG00000224751	0	0	0	0	0	0
ENSG00000117148	355	280	54	155	188	73
ENSG00000230585	0	0	0	0	0	0
ENSG00000117000	4419	2984	4105	4512	3846	2508
ENSG00000284989	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0
ENSG00000092853	263	148	181	239	153	111
ENSG00000255811	0	0	0	1	5	1
ENSG00000134697	3840	2688	3522	3986	3335	2100
ENSG00000187513	0	0	0	0	0	0
ENSG00000284720	0	0	0	0	0	0
ENSG00000225671	0	1	0	1	0	0
ENSG00000116151	558	414	526	568	530	326
ENSG00000006555	0	0	0	0	0	1
ENSG00000236111	0	0	2	1	0	0
ENSG00000214114	239	189	191	228	196	136
ENSG00000116544	7409	5396	6284	7086	7042	4129
ENSG00000236723	95	62	96	125	106	63
ENSG00000232467	0	0	0	0	0	0
ENSG00000117016	41255	28526	35136	38869	36494	23008
ENSG00000163866	3193	2332	2781	3308	2810	1812
ENSG00000237130	0	0	0	0	0	0
ENSG00000232335	0	0	0	0	0	0
ENSG00000260971	0	0	0	0	0	0
ENSG00000284696	0	3	0	2	3	0
ENSG00000238242	5	2	0	1	1	0
ENSG00000232762	0	0	0	0	0	0
ENSG00000162384	1832	1255	1389	1827	1463	895
ENSG00000162391	0	0	1	0	0	0
ENSG00000117859	9186	6431	7948	10067	8418	5561
ENSG00000162396	528	320	402	493	439	260
ENSG00000284686	0	1	0	0	2	0
ENSG00000162378	13689	9969	12928	14044	12341	8031
ENSG00000233079	0	0	0	0	0	0
ENSG00000259818	2	3	3	2	0	2
ENSG00000229444	0	0	0	0	0	0
ENSG00000240563	33	4	9	3	15	18
ENSG00000234318	0	0	0	3	0	0
ENSG00000284773	18	7	32	8	28	14
ENSG00000234481	1	1	3	1	3	2
ENSG00000235612	0	0	0	0	0	0
ENSG00000227485	0	0	0	0	0	0
ENSG00000224609	177	141	134	175	157	83
ENSG00000235545	49	42	60	48	35	27
ENSG00000236646	0	0	0	0	0	0
ENSG00000238063	0	0	0	0	0	0
ENSG00000227104	0	0	0	0	0	0
ENSG00000243725	29	39	29	49	47	22
ENSG00000171872	1	0	0	0	0	0
ENSG00000162407	201	124	67	129	77	57
ENSG00000285079	0	0	0	0	0	0
ENSG00000163877	1629	1089	1344	1527	1373	945
ENSG00000228929	22	13	14	15	6	2
ENSG00000224570	0	0	0	0	0	0
ENSG00000224980	0	0	3	0	0	0
ENSG00000278967	0	0	0	0	0	0
ENSG00000157184	1811	1385	1498	1820	1568	1104
ENSG00000198815	6568	4755	6447	6970	6171	3917
ENSG00000134744	9290	6447	9233	10054	8576	5471
ENSG00000233910	0	2	0	0	0	1
ENSG00000287703	0	0	0	0	0	0
ENSG00000283039	0	0	0	0	0	0
ENSG00000229294	16	3	14	15	11	9
ENSG00000234088	0	0	0	0	0	0
ENSG00000236973	0	0	0	0	0	0
ENSG00000277397	0	0	0	0	0	0
ENSG00000235446	0	0	0	0	0	0
ENSG00000162385	834	514	643	847	727	408
ENSG00000223883	0	1	3	2	0	0
ENSG00000237227	0	0	0	0	0	0
ENSG00000275350	0	0	0	0	0	0
ENSG00000116652	80	72	88	107	68	56
ENSG00000123080	7	8	6	4	3	3
ENSG00000285778	5	5	1	11	7	10
ENSG00000233407	0	0	0	1	0	0
ENSG00000225675	105	61	104	75	85	72
ENSG00000162598	1	0	0	1	7	1
ENSG00000280317	0	0	0	0	0	0
ENSG00000162415	13660	9764	12576	14360	12290	7829
ENSG00000162600	177	143	132	179	162	86
ENSG00000116704	1460	1090	1398	1545	1392	862
ENSG00000157193	12398	8823	12172	13300	11730	7402
ENSG00000116205	1914	1459	1880	2041	1903	1172
