chr	start	end
chr1	212855000.0	212860000.0
chr1	27285000.0	27455000.0
chr1	27285000.0	27455000.0
chr1	27285000.0	27455000.0
chr1	27285000.0	27455000.0
chr1	27285000.0	27455000.0
chr1	27285000.0	27455000.0
chr1	27550000.0	27570000.0
chr1	153670000.0	153675000.0
chr1	153670000.0	153675000.0
chr1	153670000.0	153680000.0
chr1	153670000.0	153680000.0
chr1	153775000.0	153780000.0
chr1	153775000.0	153780000.0
chr1	153670000.0	153680000.0
chr1	153670000.0	153680000.0
chr1	153775000.0	153785000.0
chr1	153775000.0	153785000.0
chr1	153650000.0	153655000.0
chr1	153650000.0	153655000.0
chr1	153670000.0	153680000.0
chr1	153670000.0	153680000.0
chr1	153645000.0	153675000.0
chr1	153645000.0	153675000.0
chr1	153645000.0	153675000.0
chr1	153645000.0	153675000.0
chr1	153785000.0	153790000.0
chr1	153785000.0	153790000.0
chr1	153635000.0	153640000.0
chr1	153635000.0	153640000.0
chr1	153670000.0	153675000.0
chr1	153670000.0	153675000.0
chr1	153670000.0	153675000.0
chr1	153670000.0	153675000.0
chr1	27350000.0	27370000.0
chr1	27315000.0	27325000.0
chr1	27390000.0	27395000.0
chr1	27350000.0	27370000.0
chr1	154980000.0	154985000.0
chr1	154980000.0	154985000.0
chr1	154555000.0	154570000.0
chr1	154555000.0	154570000.0
chr1	154555000.0	154570000.0
chr1	154555000.0	154570000.0
chr1	154980000.0	154985000.0
chr1	154980000.0	154985000.0
chr1	154550000.0	154565000.0
chr1	154550000.0	154565000.0
chr1	154955000.0	154960000.0
chr1	154955000.0	154960000.0
chr1	154550000.0	154565000.0
chr1	154550000.0	154565000.0
chr1	154550000.0	154565000.0
chr1	154550000.0	154565000.0
chr1	10470000.0	10475000.0
chr1	11000000.0	11005000.0
chr1	10490000.0	10520000.0
chr1	100245000.0	100250000.0
chr1	100455000.0	100460000.0
chr1	11260000.0	11265000.0
chr1	11475000.0	11480000.0
chr1	16070000.0	16090000.0
chr1	16070000.0	16090000.0
chr1	16070000.0	16090000.0
chr1	218345000.0	218350000.0
chr1	218345000.0	218350000.0
chr1	16350000.0	16355000.0
chr1	16070000.0	16075000.0
chr1	92855000.0	92860000.0
chr1	11235000.0	11240000.0
chr1	11260000.0	11265000.0
chr1	11225000.0	11230000.0
chr1	11035000.0	11065000.0
chr1	11235000.0	11285000.0
chr1	11035000.0	11065000.0
chr1	11235000.0	11285000.0
chr1	11035000.0	11065000.0
chr1	11265000.0	11280000.0
chr1	208240000.0	208245000.0
chr1	208240000.0	208245000.0
chr1	208240000.0	208245000.0
chr1	208240000.0	208250000.0
chr1	208240000.0	208250000.0
chr1	208240000.0	208245000.0
chr1	208240000.0	208245000.0
chr1	208240000.0	208245000.0
chr1	208240000.0	208245000.0
chr1	156020000.0	156025000.0
chr1	46605000.0	46610000.0
chr1	28540000.0	28545000.0
chr1	213015000.0	213020000.0
chr1	203305000.0	203310000.0
chr1	203305000.0	203310000.0
chr1	155090000.0	155095000.0
chr1	5990000.0	6005000.0
chr1	6040000.0	6085000.0
chr1	6040000.0	6085000.0
chr1	6040000.0	6085000.0
chr1	5990000.0	6005000.0
chr1	155595000.0	155600000.0
chr1	155275000.0	155280000.0
chr1	155315000.0	155320000.0
chr1	155575000.0	155580000.0
chr1	11270000.0	11275000.0
chr1	11055000.0	11060000.0
chr1	214335000.0	214340000.0
chr1	214225000.0	214235000.0
chr1	151460000.0	151465000.0
chr1	113145000.0	113150000.0
chr1	6235000.0	6265000.0
chr1	6235000.0	6265000.0
chr1	6235000.0	6265000.0
chr1	6235000.0	6265000.0
chr1	6245000.0	6250000.0
chr1	6265000.0	6270000.0
chr1	6245000.0	6265000.0
chr1	6245000.0	6265000.0
chr1	9940000.0	9945000.0
chr1	9940000.0	9955000.0
